id_movie,release_date,month,day_num,day_name
22625.0,1995-03-16,marzo,16.0,jueves
2292.0,1994-09-13,septiembre,13.0,martes
1909.0,1994-10-01,octubre,1.0,sabado
8984.0,1994-12-09,diciembre,9.0,viernes
61813.0,1995-01-01,enero,1.0,domingo
4954.0,1994-12-08,diciembre,8.0,jueves
62488.0,1995-04-28,abril,28.0,viernes
10531.0,1994-05-04,mayo,4.0,miercoles
11929.0,1995-03-24,marzo,24.0,viernes
8467.0,1994-12-16,diciembre,16.0,viernes
10451.0,1994-08-03,agosto,3.0,miercoles
20156.0,1994-09-24,septiembre,24.0,sabado
18395.0,1994-10-14,octubre,14.0,viernes
522.0,1994-09-27,septiembre,27.0,martes
397.0,1995-05-05,mayo,5.0,viernes
10525.0,1995-05-19,mayo,19.0,viernes
27985.0,1995-01-13,enero,13.0,viernes
15789.0,1995-04-07,abril,7.0,viernes
27303.0,1995-03-03,marzo,3.0,viernes
21183.0,1995-06-02,junio,2.0,viernes
10954.0,1994-12-07,diciembre,7.0,miercoles
47867.0,1995-05-12,mayo,12.0,viernes
43475.0,1995-12-01,diciembre,1.0,viernes
72031.0,1994-09-16,septiembre,16.0,viernes
14275.0,1994-09-12,septiembre,12.0,lunes
1024.0,1994-09-02,septiembre,2.0,viernes
17207.0,1995-01-06,enero,6.0,viernes
13701.0,1994-12-16,diciembre,16.0,viernes
14819.0,1995-02-17,febrero,17.0,viernes
32631.0,1995-02-24,febrero,24.0,viernes
11777.0,1994-12-24,diciembre,24.0,sabado
628.0,1994-11-11,noviembre,11.0,viernes
87729.0,1995-03-31,marzo,31.0,viernes
18713.0,1995-02-03,febrero,3.0,viernes
6280.0,1994-11-22,noviembre,22.0,martes
9061.0,1995-02-17,febrero,17.0,viernes
37108.0,1995-08-11,agosto,11.0,viernes
6071.0,1995-04-21,abril,21.0,viernes
11.0,1977-05-25,mayo,25.0,miercoles
9587.0,1994-12-21,diciembre,21.0,miercoles
19101.0,1995-05-10,mayo,10.0,miercoles
49980.0,1994-02-18,febrero,18.0,viernes
17961.0,1994-02-16,febrero,16.0,miercoles
18183.0,1992-04-16,abril,16.0,jueves
4476.0,1994-12-16,diciembre,16.0,viernes
11008.0,1995-03-24,marzo,24.0,viernes
47504.0,1994-10-27,octubre,27.0,jueves
32325.0,1994-06-08,junio,8.0,miercoles
43742.0,1994-10-21,octubre,21.0,viernes
28313.0,1995-03-17,marzo,17.0,viernes
11318.0,1994-12-28,diciembre,28.0,miercoles
3036.0,1994-11-04,noviembre,4.0,viernes
40490.0,1995-03-03,marzo,3.0,viernes
24070.0,1994-12-21,diciembre,21.0,miercoles
8986.0,1994-08-31,agosto,31.0,miercoles
10510.0,1994-11-18,noviembre,18.0,viernes
17402.0,1995-01-27,enero,27.0,viernes
38722.0,1995-05-03,mayo,3.0,miercoles
8438.0,1995-01-20,enero,20.0,viernes
11593.0,1994-12-23,diciembre,23.0,viernes
1945.0,1994-12-23,diciembre,23.0,viernes
39310.0,1995-04-19,abril,19.0,miercoles
109560.0,1993-08-14,agosto,14.0,sabado
56428.0,1994-04-22,abril,22.0,viernes
63105.0,1995-09-26,septiembre,26.0,martes
131957.0,1995-03-03,marzo,3.0,viernes
241.0,1994-08-25,agosto,25.0,jueves
9058.0,1994-09-17,septiembre,17.0,sabado
527.0,1994-09-02,septiembre,2.0,viernes
18220.0,1996-01-16,enero,16.0,martes
6950.0,1995-03-10,marzo,10.0,viernes
101.0,1994-09-14,septiembre,14.0,miercoles
63020.0,1995-05-12,mayo,12.0,viernes
2307.0,1995-04-28,abril,28.0,viernes
680.0,1994-09-10,septiembre,10.0,sabado
41478.0,1995-11-10,noviembre,10.0,viernes
25296.0,1992-02-01,febrero,1.0,sabado
40156.0,1994-01-01,enero,1.0,sabado
11450.0,1994-09-16,septiembre,16.0,viernes
30304.0,1995-05-05,mayo,5.0,viernes
10452.0,1994-05-13,mayo,13.0,viernes
12106.0,1995-02-09,febrero,9.0,jueves
161495.0,1995-03-01,marzo,1.0,miercoles
3586.0,1994-12-23,diciembre,23.0,viernes
110.0,1994-05-27,mayo,27.0,viernes
108.0,1993-01-10,enero,10.0,domingo
109.0,1994-01-26,enero,26.0,miercoles
159185.0,1994-10-14,octubre,14.0,viernes
36357.0,1995-01-01,enero,1.0,domingo
92769.0,1995-10-03,octubre,3.0,martes
28033.0,1995-04-12,abril,12.0,miercoles
22586.0,1994-11-18,noviembre,18.0,viernes
14334.0,1994-01-01,enero,1.0,sabado
2636.0,1994-10-07,octubre,7.0,viernes
2164.0,1994-10-27,octubre,27.0,jueves
11395.0,1994-11-10,noviembre,10.0,jueves
278.0,1994-09-23,septiembre,23.0,viernes
9905.0,1994-12-22,diciembre,22.0,jueves
87078.0,1993-09-14,septiembre,14.0,martes
12527.0,1993-01-01,enero,1.0,viernes
20306.0,1994-09-10,septiembre,10.0,sabado
36614.0,1994-07-12,julio,12.0,martes
27993.0,1995-09-08,septiembre,8.0,viernes
31439.0,1994-06-30,junio,30.0,jueves
9067.0,1995-03-31,marzo,31.0,viernes
9059.0,1995-01-13,enero,13.0,viernes
193.0,1994-11-17,noviembre,17.0,jueves
25066.0,1995-05-24,mayo,24.0,miercoles
46797.0,1994-04-15,abril,15.0,viernes
12122.0,1995-04-28,abril,28.0,viernes
11381.0,1995-03-31,marzo,31.0,viernes
32636.0,1994-09-13,septiembre,13.0,martes
36141.0,1995-04-28,abril,28.0,viernes
95963.0,1995-02-24,febrero,24.0,viernes
1587.0,1993-12-17,diciembre,17.0,viernes
9271.0,1995-08-04,agosto,4.0,viernes
2064.0,1995-04-21,abril,21.0,viernes
19855.0,1994-11-04,noviembre,4.0,viernes
60855.0,1994-09-07,septiembre,7.0,miercoles
236.0,1994-09-29,septiembre,29.0,jueves
48287.0,1995-08-18,agosto,18.0,viernes
3049.0,1994-02-04,febrero,4.0,viernes
2759.0,1994-05-31,mayo,31.0,martes
12635.0,1994-04-01,abril,1.0,viernes
10497.0,1992-09-02,septiembre,2.0,miercoles
11382.0,1994-10-14,octubre,14.0,viernes
9331.0,1994-08-03,agosto,3.0,miercoles
10731.0,1994-07-20,julio,20.0,miercoles
10464.0,1994-08-12,agosto,12.0,viernes
34152.0,1994-05-13,mayo,13.0,viernes
9495.0,1994-05-11,mayo,11.0,miercoles
29973.0,1994-12-02,diciembre,2.0,viernes
888.0,1994-05-26,mayo,26.0,jueves
13.0,1994-07-06,julio,6.0,miercoles
712.0,1994-03-09,marzo,9.0,miercoles
16295.0,1995-01-11,enero,11.0,miercoles
